,Copepod,Ref_cop,Stickleback,Ref_stickleback,Fold diff
Initial size (mg),2.96834E-05,Benesh et al. 2017,0.002055168,Benesh et al. 2017,
Final size (mg),0.002055168,Benesh et al. 2017,145,Scharsack et al. 2007,
Days,10.66666667,Benesh et al. 2017,67,Scharsack et al. 2007,
Growth rate mg/day,0.000189889,,2.16414843,,11396.90316
Growth rate ug/day,0.189889165,,,,
Relative growth,4.237523619,,11.16413149,,
Relative growth rate,0.397267839,,0.166628828,,
Host mort rate (per day),0.054254795,McCoy and Gillooly 2008 (at 10 C,0.002465753,Pauly 1980 (at 10 C),22.00333333
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
