Day,Size_mg,RGR,Surv,Coracidia_size,Asy,Rel_growth,mort
0,2.96834E-05,,1,2.96834E-05,0.00261,-8.193,0.054254795
1,3.04053E-05,0.024028326,0.947190737,,,,
2,7.30898E-05,0.877070973,0.897170292,,,,
3,0.000199736,1.005306227,0.84979139,,,,
4,0.00036627,0.606376175,0.804914532,,,,
5,0.000536681,0.382032325,0.762407589,,,,
6,0.000695894,0.259793862,0.722145406,,,,
7,0.000839394,0.187483194,0.684009439,,,,
8,0.000966962,0.141478894,0.647887405,,,,
9,0.001079922,0.110484486,0.613672948,,,,
10,0.001180015,0.08863878,0.581265332,,,,
11,0.001268965,0.07267466,0.550569138,,,,
12,0.001348323,0.060659441,0.521493987,,,,
13,0.001419427,0.051392218,0.493954274,,,,
14,0.001483418,0.044095538,0.467868913,,,,
15,0.001541256,0.038248343,0.4431611,,,,
16,0.001593748,0.033490924,0.419758089,,,,
17,0.001641576,0.029568528,0.397590974,,,,
18,0.001685317,0.026296675,0.376594487,,,,
19,0.001725458,0.023539128,0.35670681,,,,
20,0.001762417,0.021193518,0.337869386,,,,
21,0.001796549,0.019181725,0.320026753,,,,
22,0.001828162,0.017443301,0.303126376,,,,
23,0.00185752,0.015930882,0.287118495,,,,
24,0.001884851,0.014606931,0.271955979,,,,
25,0.001910357,0.013441394,0.257594184,,,,
26,0.001934213,0.012409973,0.243990825,,,,
27,0.00195657,0.011492857,0.231105849,,,,
28,0.001977566,0.010673762,0.21890132,,,,
29,0.00199732,0.009939201,0.207341302,,,,
30,0.002015937,0.009277933,0.196391761,,,,
31,0.002033513,0.008680522,0.186020456,,,,
32,0.002050131,0.008139003,0.176196853,,,,
33,0.002065867,0.007646617,0.166892027,,,,
34,0.00208079,0.007197595,0.158078582,,,,
35,0.002094961,0.006786991,0.149730569,,,,
36,0.002108434,0.006410544,0.141823408,,,,
37,0.002121259,0.006064568,0.134333818,,,,
38,0.002133483,0.005745862,0.127239748,,,,
39,0.002145146,0.005451633,0.120520311,,,,
40,0.002156285,0.005179438,0.114155722,,,,
41,0.002166936,0.00492713,0.108127242,,,,
42,0.002177128,0.004692818,0.102417122,,,,
43,0.002186893,0.004474831,0.09700855,,,,
44,0.002196254,0.004271686,0.0918856,,,,
45,0.002205238,0.004082067,0.087033189,,,,
46,0.002213866,0.003904799,0.08243703,,,,
47,0.002222159,0.003738831,0.078083591,,,,
48,0.002230135,0.003583224,0.073960054,,,,
49,0.002237814,0.003437133,0.070054278,,,,
50,0.00224521,0.003299797,0.066354764,,,,
51,0.00225234,0.003170531,0.062850617,,,,
52,0.002259217,0.003048714,0.059531523,,,,
53,0.002265855,0.002933785,0.056387707,,,,
54,0.002272266,0.002825234,0.053409914,,,,
55,0.002278461,0.002722598,0.050589375,,,,
56,0.00228445,0.002625455,0.047917788,,,,
57,0.002290245,0.00253342,0.045387285,,,,
58,0.002295854,0.002446141,0.042990416,,,,
59,0.002301287,0.002363295,0.040720123,,,,
60,0.00230655,0.002284588,0.038569724,,,,
61,0.002311653,0.002209748,0.036532885,,,,
62,0.002316601,0.002138527,0.03460361,,,,
63,0.002321403,0.002070693,0.032776219,,,,
64,0.002326065,0.002006037,0.031045331,,,,
65,0.002330592,0.001944363,0.02940585,,,,
66,0.00233499,0.001885489,0.027852949,,,,
67,0.002339266,0.00182925,0.026382055,,,,
68,0.002343423,0.001775489,0.024988838,,,,
69,0.002347466,0.001724065,0.023669196,,,,
70,0.002351401,0.001674842,0.022419243,,,,
71,0.002355232,0.001627698,0.0212353,,,,
72,0.002358962,0.001582516,0.020113879,,,,
73,0.002362596,0.00153919,0.01905168,,,,
74,0.002366137,0.00149762,0.018045575,,,,
75,0.002369588,0.00145771,0.017092601,,,,
76,0.002372954,0.001419376,0.016189953,,,,
77,0.002376237,0.001382533,0.015334974,,,,
78,0.00237944,0.001347107,0.014525145,,,,
79,0.002382566,0.001313025,0.013758083,,,,
80,0.002385619,0.00128022,0.013031529,,,,
